iter	Passed	Remaining
0	1	174
1	2	139
2	4	129
3	4	117
4	6	114
5	7	111
6	8	108
7	9	105
8	10	104
9	11	102
10	12	101
11	13	100
12	14	99
13	15	97
14	17	96
15	18	94
16	19	93
17	20	91
18	21	90
19	22	89
20	23	87
21	24	86
22	25	85
23	26	83
24	27	82
25	28	81
26	29	80
27	30	78
28	31	77
29	32	76
30	33	75
31	34	73
32	35	72
33	36	71
34	37	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	44	62
42	46	60
43	47	59
44	48	59
45	49	58
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	57	50
53	58	49
54	58	48
55	59	47
56	60	45
57	61	44
58	63	43
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
