iter	Passed	Remaining
0	139	139841
1	143	71667
2	145	48440
3	147	36815
4	149	29820
5	151	25157
6	153	21782
7	156	19349
8	158	17471
9	160	15907
10	164	14781
11	166	13723
12	168	12806
13	170	12017
14	173	11397
15	175	10804
16	178	10330
17	182	9937
18	187	9657
19	189	9301
20	192	8982
21	194	8645
22	196	8338
23	198	8052
24	200	7814
25	202	7597
26	205	7396
27	208	7244
28	213	7138
29	214	6943
30	217	6794
31	219	6646
32	223	6560
33	227	6465
34	229	6334
35	232	6221
36	234	6105
37	236	5998
38	240	5927
39	244	5866
40	246	5762
41	249	5683
42	252	5625
43	254	5530
44	256	5440
45	258	5367
46	260	5284
47	265	5268
48	267	5196
49	270	5147
50	274	5111
51	277	5057
52	279	4991
53	281	4926
54	282	4861
55	285	4813
56	287	4757
57	289	4705
58	293	4679
59	295	4631
60	298	4596
61	300	4551
62	302	4503
63	304	4451
64	307	4418
65	310	4388
66	313	4365
67	315	4323
68	318	4294
69	323	4299
70	327	4282
71	330	4260
72	333	4235
73	336	4210
74	341	4205
75	343	4174
76	345	4144
77	347	4108
78	350	4091
79	353	4070
80	356	4049
81	359	4020
82	360	3982
83	362	3953
84	364	3925
85	367	3900
86	368	3870
87	371	3848
88	373	3823
89	375	3797
90	378	3783
91	380	3757
92	382	3730
93	385	3711
94	386	3681
95	388	3656
96	389	3627
97	392	3616
98	396	3609
99	399	3593
100	401	3577
101	403	3555
102	406	3541
103	409	3530
104	413	3521
105	416	3513
106	418	3491
107	420	3475
108	424	3470
109	426	3454
110	428	3432
111	430	3412
112	432	3398
113	434	3379
114	436	3359
115	440	3355
116	441	3334
117	443	3317
118	445	3298
119	447	3280
120	449	3265
121	451	3252
122	454	3240
123	456	3222
124	457	3202
125	458	3183
126	460	3167
127	463	3160
128	466	3149
129	469	3142
130	472	3131
131	474	3117
132	475	3102
133	478	3095
134	481	3085
135	482	3067
136	484	3052
137	487	3043
138	489	3034
139	493	3029
140	494	3015
141	497	3007
142	501	3003
143	503	2994
144	507	2991
145	509	2982
146	512	2973
147	514	2962
148	516	2947
149	517	2933
150	519	2923
151	521	2911
152	524	2905
153	526	2894
154	528	2882
155	530	2870
156	533	2863
157	535	2852
158	537	2840
159	539	2830
160	540	2816
161	542	2805
162	544	2794
163	546	2785
164	549	2778
165	552	2774
166	555	2769
167	556	2757
168	558	2744
169	561	2740
170	563	2732
171	565	2722
172	568	2715
173	569	2705
174	571	2694
175	573	2684
176	575	2675
177	577	2668
178	580	2660
179	583	2656
180	585	2650
181	590	2652
182	595	2659
183	598	2652
184	600	2644
185	601	2633
186	603	2623
187	605	2614
188	608	2612
189	611	2605
190	614	2601
191	616	2595
192	618	2587
193	620	2578
194	622	2571
195	625	2565
196	627	2556
197	629	2550
198	630	2539
199	634	2536
200	637	2535
201	639	2527
202	643	2526
203	646	2524
204	649	2520
205	653	2517
206	656	2513
207	657	2504
208	660	2500
209	665	2504
210	667	2495
211	669	2488
212	673	2487
213	675	2481
214	679	2481
215	682	2475
216	684	2471
217	687	2465
218	689	2459
219	692	2454
220	695	2452
221	697	2444
222	699	2436
223	700	2427
224	703	2421
225	704	2413
226	706	2407
227	708	2400
228	710	2391
229	712	2384
230	714	2378
231	716	2373
232	718	2366
233	723	2369
234	726	2366
235	728	2359
236	730	2350
237	731	2343
238	735	2341
239	738	2338
240	741	2334
241	742	2326
242	744	2318
243	746	2313
244	752	2319
245	756	2319
246	760	2318
247	762	2311
248	770	2322
249	771	2315
250	773	2308
251	775	2301
252	777	2296
253	782	2297
254	784	2292
255	786	2286
256	789	2281
257	790	2274
258	794	2273
259	796	2267
260	800	2266
261	802	2260
262	804	2254
263	806	2247
264	808	2241
265	812	2240
266	813	2233
267	815	2227
268	817	2221
269	819	2216
270	822	2212
271	825	2209
272	827	2204
273	830	2199
274	831	2191
275	832	2184
276	834	2178
277	836	2173
278	838	2168
279	840	2162
280	844	2159
281	845	2153
282	847	2146
283	849	2142
284	853	2140
285	855	2135
286	858	2131
287	860	2126
288	861	2120
289	864	2117
290	867	2114
291	870	2109
292	872	2104
293	874	2100
294	875	2093
295	877	2088
296	880	2083
297	882	2078
298	884	2073
299	886	2068
300	888	2063
301	890	2057
302	892	2052
303	894	2049
304	898	2047
305	900	2043
306	903	2038
307	913	2052
308	915	2047
309	917	2041
310	918	2035
311	920	2029
312	922	2023
313	925	2022
314	927	2016
315	930	2013
316	932	2008
317	935	2005
318	936	2000
319	939	1996
